titulo,genero,anyo,duracion,pais,direccion,guion,musica,fotografia,reparto,productor,puntuacion,numVal;;
"The Great Dictator,Comedia,1940,128 min.,Estados Unidos,Charles Chaplin,Charles Chaplin,""Charles Chaplin,Meredith Willson"",""Roland Totheroh,Karl Struss (B&W)"",""Charles Chaplin,Paulette Goddard,Jack Oakie,Reginald Gardiner,Henry Daniell,Carter De Haven,Grace Hayle,Maurice Moscovitch,Billy Gilbert"",United Artists,8.6,84812";;
"The Simpsons (TV Series),Serie de TV,1989,22 min.,Estados Unidos,Matt Groening (Creator),""Matt Groening,James L. Brooks,Sam Simon,John Swartzwelder,Dan Greaney,David X. Cohen,Richard Appel,Jennifer Crittenden,Matt Selman,Jon Vitti,Bill Canterbury,Al Jean,Daniel Chun,Matt Warburton,John Frink,Tim Long,Joel H. Cohen,Valentina Garza,Jon Kern,Ian Maxtone-Graham,Michael Price,Carolyn Omine,J. Stewart Burns,Don Payne,Jeff Westbrook,Brian Kelley,George Meyer,Bill Oakley,Josh Weinstein,Mike Scully,Rob LaZebnik,Bill Odenkirk,Jeff Martin,Marc Wilmore,Kevin Curran,Mike Reiss,Jay Kogen,Wallace Wolodarsky,Stephanie Gillis,Dan Castellaneta,Dana Gould (Personajes: Matt Groening)"",""Alf Clausen,Richard Gibbs,Arthur B. Rubinstein,Chris Ledesma (Tema: Danny Elfman)"",Animation,Animation,Emitida por 20th Century Fox Television"; Gracie Films / 20th Century Fox Television / Film Roman,8.6,174286;
"Modern Times,Comedia,1936,89 min.,Estados Unidos,Charles Chaplin,Charles Chaplin,Charles Chaplin,""Rollie Totheroh,Ira Morgan (B&W)"",""Charles Chaplin,Paulette Goddard,Henry Bergman,Chester Conklin,Stanley Stanford,Hank Mann,Louis Natheaux,Allan Garcia"",United Artists,8.6,61180";;
"The Sting,Intriga,1973,129 min.,Estados Unidos,George Roy Hill,David S. Ward,Marvin Hamlisch,Robert Surtees,""Robert Redford,Paul Newman,Robert Shaw,Charles Durning,Ray Walston,Eileen Brennan,Harold Gould,Dana Elcar,John Heffernan,Charles Dierkop,Dimitra Arliss,Robert Earl Jones,Lee Paul,Avon Long"",Universal Pictures / Zanuck/Brown,8.5,98152";;
"Band of Brothers,Serie de TV,2001,705 min.,Estados Unidos,Stephen Ambrose (Creator),""Erik Jendresen,Tom Hanks,John Orloff,E. Max Frye,Graham Yost,Bruce C. McKenna,Erik Bork  (Libro: Stephen Ambrose)"",Michael Kamen,""Remi Adefarasin,Joel Ransom"",""Damian Lewis,Ron Livingston,Rick Gomez,Scott Grimes,Donnie Wahlberg,Michael Cudlitz,James Madio,Dexter Fletcher,Neal McDonough,Matthew Settle,Ross McCall,Frank John Hughes,Peter McCabe,Nicholas Aaron,Craig Heaney,Kirk Acevedo,Eion Bailey,Shane Taylor,Dale Dye,Stephen Graham,David Schwimmer,Peter Youngblood Hills,Nolan Hemmings,Rick Warden,Robin Laing,Philip Barrantini,Phil McKee,Tom George,Michael Fassbender,James McAvoy,Ben Caplan,George Calil,Doug Allen,Matthew Leitch,Marc Warren,Colin Hanks,Andrew Scott,Tom Hardy,Jimmy Fallon,Simon Pegg"",Emitida por HBO"; HBO / DreamWorks SKG / DreamWorks Television / Playtone,8.5,56760;
"To Be or Not to Be,Comedia,1942,99 min.,Estados Unidos,Ernst Lubitsch,Edwin Justus Mayer (Historia: Melchior Lengyel),Werner R. Heymann,Rudolph MatÃ© (B&W),""Carole Lombard,Jack Benny,Robert Stack,Stanley Ridges,Felix Bressart,Lionel Atwill,Sig Ruman,Tom Dugan,Charles Halton,George Lynn"",Romaine Film / Alexander Korda,8.5,33579";;
"Seppuku (Harakiri),Drama,1962,133 min.,JapÃ_n,Masaki Kobayashi,Shinobu Hashimoto (Historia: Yasuhiko Takiguchi),TÃ´ru Takemitsu,Yoshio Miyajima (B&W),""Tatsuya Nakadai,RentarÃ´ Mikuni,Akira Ishihama,Shima Iwashita,TetsurÃ´ Tanba,Masao Mishima,IchirÃ´ Nakatani,Kei Sato,Yoshio Inaba,Hisashi Igawa,TÃ´ru Takeuchi,Yoshio Aoki,Tatsuo Matsumura,Akiji Kobayashi,KÃ´ichi Hayashi,Ryutaro Gomi,Jo Azumi,NakajirÃ´ Tomita,ShichisaburÃ´ Amatsu,KenzÃ´ Tanaka,Shin Nakahara,Tsuneo Ikeda,Minoru Miyagi,Takaaki Kadota,Satoshi Nishida,TetsurÃ´ Komiyama,ShÃ»ichirÃ´ Narita,Noboru Kasuga"",ShÃ´chiku / ShÃ´chiku,8.5,10138";;
"La vita Ã¨ bella,Comedia,1997,117 min.,Italia,Roberto Benigni,""Roberto Benigni,Vincenzo Cerami"",Nicola Piovani,Tonino Delli Colli,""Roberto Benigni,Nicoletta Braschi,Giorgio Cantarini,Marisa Paredes,Giustino Durano,Horst Buchholz,Sergio Bini Bustric"",Melampo Cinematografica / Cecchi Gori Group Tiger Cinematografica. Distribuida por Miramax International,8.5,193971";;
"The Sopranos (TV Series),Serie de TV,1999,50 min.,Estados Unidos,David Chase (Creator),""David Chase,Terence Winter,Mitchell Burgess,Robin Green,Matthew Weiner,Frank Renzulli,Michael Imperioli,Todd A. Kessler,Diane Frolov,Andrew Schneider"",Will Edwards,""Phil Abraham,Alik Sakharov"",""James Gandolfini,Edie Falco,Lorraine Bracco,Michael Imperioli,Tony Sirico,Aida Turturro,Dominic Chianese,Jamie-Lynn Sigler,Steve Van Zandt,Drea de Matteo,Steve Schirripa,Nancy Marchand,Dan Grimaldi,Joseph R. Gannascoli,Federico Castelluccio,Steve Buscemi,Joe Pantoliano,John Ventimiglia,Sharon Angela,Robert Iler,Frank Vincent,Vincent Pastore,Kathrine Narducci,David Proval,Peter Bogdanovich,Jerry Adler,Jason Cerbone,Vincent Curatola,Ray Abruzzo,Arthur J. Nascarella,Paul Schulze,Richard Portnow,David Margulies,Karen Young,Alla Kliouka Schaffer,Angelo Massagli,Annabella Sciorra,Danielle Di Vecchio,Denise Borino-Quinn,Frank Santorelli,Frankie Valli,George Loros,Greg Antonacci,John Fiore,John Heard,Joseph Badalucco Jr.,Lillo Brancato,Lola Glaudini,Tony Lip,Louis Lombardi,Matt Servitto,Oksana Lada,Toni Kalem,Paul Herman,Robert Funaro,Max Casella,Peter Riegert,Tony Darrow,Ari Graynor,Cara Buono"",HBO / Brillstein Entertainment Partners,8.5,56152";;
"Chernobyl,Serie de TV,2019,60 min.,Estados Unidos,Craig Mazin (Creator),Craig Mazin,Hildur GuÃ°nadÃ_ttir,Jakob Ihre,""Jared Harris,Stellan Skarsgard,Emily Watson,Paul Ritter,Jessie Buckley,Robert Emms,Adam Nagaitis,Sam Troughton,Adrian Rawlins,Con O'Neill,Joshua Leese,Ross Armstrong,Philip Barrantini,James Cosmo,Karl Davies,David Dencik,Caoilfhionn Dunne,Fares Fares,Alex Ferns,Peter Guinness,Ralph Ineson,Mark Lewis Jones,Gerard Kearns,Barry Keoghan,James Kermack,Hilton McRae,Diarmaid Murtagh,Kieran O'Brien,Ian Pirie,William Postlethwaite,Lucy Russell,Michael Shaeffer,Jay Simpson,Jamie Sives,Michael Socha,Lucy Speed,Laurence Spellman,Sam Strike,Joe Tucker,Sakalas Uzdavinys,Laura Elphinstone"",CoproducciÃ_n Estados Unidos-Reino Unido"; HBO / Sky Television / Sister Pictures / The Mighty Mint / Word Games. Distribuida por HBO,8.5,25363;
"Sunset Blvd. (Sunset Boulevard),Cine negro,1950,110 min.,Estados Unidos,Billy Wilder,""Charles Brackett,Billy Wilder,D.M. Marshman Jr."",Franz Waxman,John F. Seitz (B&W),""William Holden,Gloria Swanson,Erich von Stroheim,Nancy Olson,Lloyd Gough,Jack Webb,Fred Clark,Cecil B. DeMille,Buster Keaton,Anna Q. Nilsson,Hedda Hopper,H.B. Warner,Franklyn Farnum,Julia Faye,Ruth Clifford"",Paramount Pictures,8.5,44046";;
"True Detective (TV Series),Serie de TV,2014,60 min.,Estados Unidos,Nic Pizzolatto (Creator),Nic Pizzolatto,T-Bone Burnett (Tema principal: The Handsome Family),Adam Arkapaw,""Matthew McConaughey,Woody Harrelson,Michelle Monaghan,Michael Potts,Tory Kittles,Kevin Dunn,Alexandra Daddario,Charles Halford,J.D. Evermore,Glenn Fleshler,Shea Whigham,Joe Chrest,Dane Rhodes,Michael Harney,Jay O. Sanders,Lili Simmons,Johnny McPhail,Jim Klock,Garrett Kruithof,Dana Gourrier,Madison Wolfe,Meghan Wolfe,Jackson Beals,Erin Moriarty"",HBO / Anonymous Content,8.5,60389";;
"All About Eve,Drama,1950,138 min.,Estados Unidos,Joseph L. Mankiewicz,Joseph L. Mankiewicz,Alfred Newman,Milton R. Krasner (B&W),""Bette Davis,Anne Baxter,George Sanders,Celeste Holm,Gary Merrill,Hugh Marlowe,Gregory Ratoff,Barbara Bates,Marilyn Monroe,Thelma Ritter"",20th Century Fox. Productor: Darryl F. Zanuck,8.5,33947";;
"Double Indemnity,Cine negro,1944,106 min.,Estados Unidos,Billy Wilder,""Raymond Chandler,Billy Wilder (Novela: James M. Cain)"",MiklÃ_s RÃ_zsa,John F. Seitz (B&W),""Fred MacMurray,Barbara Stanwyck,Edward G. Robinson,Tom Powers,Porter Hall,Jean Heather,Byron Barr,Richard Gaines,Fortunio Bonanova,John Philliber,Bess Flowers,Miriam Nelson"",Paramount Pictures,8.5,30893";;
"Paths of Glory,BÃ©lico,1957,86 min.,Estados Unidos,Stanley Kubrick,""Stanley Kubrick,Calder Willingham,Jim Thompson (Novela: Humphrey Cobb)"",Gerald Fried,Georg Krause (B&W),""Kirk Douglas,George Macready,Adolphe Menjou,Ralph Meeker,Wayne Morris,Joe Turkel,Richard Anderson,Timothy Carey,Peter Capell,Christiane Kubrick,Bert Freed,Emile Meyer"",Bryna Productions. Distribuida por Metro-Goldwyn-Mayer (MGM),8.5,52216";;
"Shichinin no Samurai (Seven Samurai),Aventuras,1954,205 min.,JapÃ_n,Akira Kurosawa,""Akira Kurosawa,Shinobu Hashimoto,Hideo Oguni"",Fumio Hayasaka,Asakazu Nakai (B&W),""ToshirÃ´ Mifune,Takashi Shimura,Yoshio Inaba,Seiji Miyaguchi,Minoru Chiaki,Daisuke KatÃ´,Ko Kimura,Kamatari Fujiwara,Keiko Tsushima,Yoshio Tsuchiya,Kokuten KÃ´dÃ´"",Toho,8.5,40094";;
